"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824288","146.1.4","1504","","","","0"
"2023","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824288","146.1.4","1749","","","","0"
"2024","Calgary, Alberta","2011S0503825","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824288","146.1.4","1975","","","","0"
"2018","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824422","146.4.1","881","","","","0"
"2019","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824422","146.4.1","902","","","","0"
"2020","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824422","146.4.1","886","","","","0"
"2021","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824422","146.4.1","923","","","","0"
"2022","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824422","146.4.1","977","","","","0"
"2023","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824422","146.4.1","1209","","","","0"
"2024","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824422","146.4.1","1367","","","","0"
"2018","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824610","146.4.2","1052","","","","0"
"2019","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824610","146.4.2","1082","","","","0"
"2020","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824610","146.4.2","1090","","","","0"
"2021","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824610","146.4.2","1115","","","","0"
"2022","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824610","146.4.2","1226","","","","0"
"2023","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824610","146.4.2","1469","","","","0"
"2024","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824610","146.4.2","1590","","","","0"
"2018","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824798","146.4.3","1293","","","","0"
"2019","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824798","146.4.3","1327","","","","0"
"2020","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824798","146.4.3","1344","","","","0"
"2021","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824798","146.4.3","1377","","","","0"
"2022","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824798","146.4.3","1489","","","","0"
"2023","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824798","146.4.3","1722","","","","0"
"2024","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824798","146.4.3","1909","","","","0"
"2018","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3824986","146.4.4","1433","","","","0"
"2019","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3824986","146.4.4","1479","","","","0"
"2020","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3824986","146.4.4","1539","","","","0"
"2021","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3824986","146.4.4","1584","","","","0"
"2022","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3824986","146.4.4","1729","","","","0"
"2023","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3824986","146.4.4","1985","","","","0"
"2024","Calgary, Alberta","2011S0503825","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3824986","146.4.4","2229","","","","0"
"2018","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822837","184.3.1","1151","","","","0"
"2019","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822837","184.3.1","1227","","","","0"
"2020","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822837","184.3.1","1259","","","","0"
"2021","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822837","184.3.1","1302","","","","0"
"2022","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822837","184.3.1","1378","","","","0"
"2023","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822837","184.3.1","1489","","","","0"
"2024","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3822837","184.3.1","1576","","","","0"
"2018","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822971","184.3.2","1306","","","","0"
"2019","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822971","184.3.2","1382","","","","0"
"2020","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822971","184.3.2","1415","","","","0"
"2021","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822971","184.3.2","1434","","","","0"
"2022","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822971","184.3.2","1543","","","","0"
"2023","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822971","184.3.2","1697","","","","0"
"2024","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822971","184.3.2","1769","","","","0"
"2018","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823105","184.3.3","1652","","","","0"
"2019","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823105","184.3.3","1752","","","","0"
"2020","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823105","184.3.3","1799","","","","0"
"2021","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823105","184.3.3","1830","","","","0"
"2022","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823105","184.3.3","2009","","","","0"
"2023","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823105","184.3.3","2187","","","","0"
"2024","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823105","184.3.3","2313","","","","0"
"2018","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823239","184.3.4","1845","","","","0"
"2019","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823239","184.3.4","1990","","","","0"
"2020","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823239","184.3.4","2078","","","","0"
"2021","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823239","184.3.4","2211","","","","0"
"2022","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823239","184.3.4","2441","","","","0"
"2023","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823239","184.3.4","2477","","","","0"
"2024","Vancouver, British Columbia","2011S0503933","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823239","184.3.4","2744","","","","0"
"2018","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823373","184.2.1","1470","","","","0"
"2019","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823373","184.2.1","1344","","","","0"
"2020","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823373","184.2.1","1549","","","","0"
"2021","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823373","184.2.1","1488","","","","0"
"2022","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823373","184.2.1","1545","","","","0"
"2023","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823373","184.2.1","1805","","","","0"
"2024","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","Bachelor units","Dollars","81","units","0","v3823373","184.2.1","1785","","","","0"
"2018","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823507","184.2.2","1239","","","","0"
"2019","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823507","184.2.2","1346","","","","0"
"2020","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823507","184.2.2","1356","","","","0"
"2021","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823507","184.2.2","1376","","","","0"
"2022","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823507","184.2.2","1658","","","","0"
"2023","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823507","184.2.2","2102","","","","0"
"2024","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823507","184.2.2","","F","","","0"
"2018","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823641","184.2.3","1756","","","","0"
"2019","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823641","184.2.3","1881","","","","0"
"2020","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823641","184.2.3","2106","","","","0"
"2021","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823641","184.2.3","2048","","","","0"
"2022","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823641","184.2.3","2392","","","","0"
"2023","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823641","184.2.3","2478","","","","0"
"2024","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823641","184.2.3","2269","","","","0"
"2018","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823775","184.2.4","1755","","","","0"
"2019","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823775","184.2.4","1907","","","","0"
"2020","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823775","184.2.4","1940","","","","0"
"2021","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823775","184.2.4","2020","","","","0"
"2022","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823775","184.2.4","2284","","","","0"
"2023","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823775","184.2.4","2306","","","","0"
"2024","Vancouver, British Columbia","2011S0503933","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823775","184.2.4","2174","","","","0"
"2018","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823909","184.1.1","1150","","","","0"
"2019","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823909","184.1.1","1227","","","","0"
"2020","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823909","184.1.1","1258","","","","0"
"2021","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823909","184.1.1","1301","","","","0"
"2022","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823909","184.1.1","1378","","","","0"
"2023","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823909","184.1.1","1486","","","","0"
"2024","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","Bachelor units","Dollars","81","units","0","v3823909","184.1.1","1575","","","","0"
"2018","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824043","184.1.2","1307","","","","0"
"2019","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824043","184.1.2","1382","","","","0"
"2020","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824043","184.1.2","1415","","","","0"
"2021","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824043","184.1.2","1434","","","","0"
"2022","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824043","184.1.2","1543","","","","0"
"2023","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824043","184.1.2","1696","","","","0"
"2024","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824043","184.1.2","1769","","","","0"
"2018","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824177","184.1.3","1649","","","","0"
"2019","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824177","184.1.3","1748","","","","0"
"2020","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824177","184.1.3","1792","","","","0"
"2021","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824177","184.1.3","1824","","","","0"
"2022","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824177","184.1.3","2002","","","","0"
"2023","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824177","184.1.3","2181","","","","0"
"2024","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3824177","184.1.3","2314","","","","0"
"2018","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824311","184.1.4","1921","","","","0"
"2019","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824311","184.1.4","2063","","","","0"
"2020","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824311","184.1.4","2206","","","","0"
"2021","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824311","184.1.4","2326","","","","0"
"2022","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824311","184.1.4","2511","","","","0"
"2023","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824311","184.1.4","2547","","","","0"
"2024","Vancouver, British Columbia","2011S0503933","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3824311","184.1.4","2942","","","","0"
"2018","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824445","184.4.1","1152","","","","0"
"2019","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824445","184.4.1","1229","","","","0"
"2020","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824445","184.4.1","1259","","","","0"
"2021","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824445","184.4.1","1302","","","","0"
"2022","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824445","184.4.1","1380","","","","0"
"2023","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824445","184.4.1","1489","","","","0"
"2024","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","Bachelor units","Dollars","81","units","0","v3824445","184.4.1","1577","","","","0"
"2018","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824633","184.4.2","1309","","","","0"
"2019","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824633","184.4.2","1385","","","","0"
"2020","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824633","184.4.2","1418","","","","0"
"2021","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824633","184.4.2","1437","","","","0"
"2022","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824633","184.4.2","1546","","","","0"
"2023","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824633","184.4.2","1700","","","","0"
"2024","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","One bedroom units","Dollars","81","units","0","v3824633","184.4.2","1771","","","","0"
"2018","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824821","184.4.3","1651","","","","0"
"2019","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824821","184.4.3","1750","","","","0"
"2020","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824821","184.4.3","1793","","","","0"
"2021","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824821","184.4.3","1828","","","","0"
"2022","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824821","184.4.3","2005","","","","0"
"2023","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824821","184.4.3","2186","","","","0"
"2024","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","Two bedroom units","Dollars","81","units","0","v3824821","184.4.3","2315","","","","0"
"2018","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3825009","184.4.4","1934","","","","0"
"2019","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3825009","184.4.4","2076","","","","0"
"2020","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3825009","184.4.4","2222","","","","0"
"2021","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3825009","184.4.4","2323","","","","0"
"2022","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3825009","184.4.4","2516","","","","0"
"2023","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3825009","184.4.4","2545","","","","0"
"2024","Vancouver, British Columbia","2011S0503933","Apartment structures of six units and over","Three bedroom units","Dollars","81","units","0","v3825009","184.4.4","2961","","","","0"


